Rank;DokumentType;Titel;PopulærTitel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
B;Ændringsbekendtgørelse;Bekendtgørelse om ændring af bekendtgørelse om lagringspligt m.v. for olie;;Klima-, Energi- og Forsyningsministeriet;Energistyrelsen;Klima-, Energi- og Forsyningsmin.,\nEnergistyrelsen, j.nr. 2019-84577;1030;2019;DB000030;B20190103005;Lovtidende A;;Fremgår af forskriften;20191003;20191011;20191011;20191011;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2019/1030
B;Bekendtgørelse;Bekendtgørelse om lagringspligt m.v. for olie;;Klima-, Energi- og Forsyningsministeriet;Energistyrelsen;Klima-, Energi- og Bygningsmin.,\nEnergistyrelsen, j.nr. 2018/2085-0007;1340;2014;BU000375;B20140134005;Lovtidende A;;Fremgår af forskriften;20141210;20141216;20141216;20141216;;FALSE;;;;;A20120035430;BEK nr 1030 af 03/10/2019;;;https://www.retsinformation.dk/eli/lta/2014/1340
L;Bekendtgørelse (international);Bekendtgørelse af aftale af 29. maj 2002 med tilhørende protokol med Forbundsrepublikken Jugoslavien (nu Serbien og Montenegro) om tilbagesendelse og tilbagetagelse af personer, som ikke eller ikke længere opfylder betingelserne for indrejse eller ophold på den anden stats territorium;;Udenrigsministeriet;;Udenrigsmin., F.Kons., j.nr. 17.D.75.;33;2003;AS000572;L20030003364;Lovtidende C;;Fremgår af forskriften;20031023;20031105;20040112;20031105;;FALSE;;;;;;;;L20200001064;https://www.retsinformation.dk/eli/ltc/2003/33
L;Bekendtgørelse (international);Bekendtgørelse af aftale af 18. oktober 2004 med Bosnien-Herzegovina om tilbagetagelse af personer med ulovligt ophold;;Udenrigsministeriet;;Udenrigsmin., BVP j.nr. 17.D.83.;37;2009;AS001093;L20090003764;Lovtidende C;;Fremgår af forskriften;20091002;20091006;20091006;20091006;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ltc/2009/37
E;Stor vejledning;TOLDVEJLEDNING 2000  A.16 MIDLERTIDIG INDFØRSEL AF ANDRE VARER END TRANSPORTMIDLER;;Skatteministeriet;;;20092;2000;AN009058;E20008T00018;Retsinformation;;Fremgår af forskriften;20000101;20080205;20080205;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/2000/20092
E;Stor vejledning;TOLDVEJLEDNING 1994   AFSNIT A.16 - MIDLERTIDIG INDFØRSEL AF ANDRE VARER END TRANSPORTMIDLER;;Skatteministeriet;;;20029;1994;AN007002;E19948T00A16;Retsinformation;;Fremgår af forskriften;19940101;20080205;20080205;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/1994/20029
E;Stor vejledning;TOLDVEJLEDNING 1997   AFSNIT A.16 - MIDLERTIDIG INDFØRSEL AF ANDRE VARER END TRANSPORTMIDLER;;Skatteministeriet;;;20027;1997;AN009090;E19978T00A16;Retsinformation;;Fremgår af forskriften;19970101;20080205;20080205;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/1997/20027
E;Stor vejledning;TOLDVEJLEDNING 1998   AFSNIT A.16 - MIDLERTIDIG INDFØRSEL AF ANDRE VARER END TRANSPORTMIDLER;;Skatteministeriet;;;20044;1998;AN008896;E19988T00A16;Retsinformation;;Fremgår af forskriften;19980101;20080205;20080205;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/1998/20044
