Rank;DokumentType;Titel;PopulærTitel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Lovbekendtgørelse;Bekendtgørelse af lov om kystbeskyttelse m.v.;Kystbeskyttelsesloven;Miljøministeriet;;Miljø- og Fødevaremin.,\nNaturstyrelsen, Kystdirektoratet, j.nr. 20/01740;705;2020;CK002492;A20200070529;Lovtidende A;;Fremgår af forskriften;20200529;20200530;20200530;20200530;;FALSE;;;;;;LOV nr 900 af 21/06/2022;;;https://www.retsinformation.dk/eli/lta/2020/705
C;Vejledning;Vejledning til danske skovejere om EU´s Tømmerforordning (EUTR) Miljø- og Fødevareministeriet den 4. marts 2016 (Opdateret den 1. juli 2016);;Miljøministeriet;;Miljø- og Fødevaremin.,\nStyrelsen for Vand- og Naturforvaltning, j.nr. ;9843;2016;CK000888;C20160984360;Retsinformation;;Fremgår af forskriften;20160701;20160826;20160826;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/2016/9843
C;Cirkulære (1 sp);Cirkulære om våben og ammunition m.v.;;Justitsministeriet;;Justitsmin., j.nr. 2016-5002-0029;10222;2016;AA009973;C20161022209;Retsinformation;;Fremgår af forskriften;20161201;20161206;20161206;;;FALSE;;;;;B20210253105;CIR1Æ nr 9429 af 12/06/2018,CIR1Æ nr 9703 af 21/08/2018,CIR1Æ nr 10113 af 20/12/2018,CIR1Æ nr 9392 af 29/06/2020,CIR1Æ nr 9044 af 30/01/2021;;;https://www.retsinformation.dk/eli/retsinfo/2016/10222
C;Ændr.cirkulære (1 sp);Cirkulære om ændring af cirkulære om våben og ammunition m.v.;;Justitsministeriet;;Justitsmin., j.nr. 2019-10-0377;9392;2020;AA011956;C20200939209;Retsinformation;;Fremgår af forskriften;20200629;20200630;20200630;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/2020/9392
B;Bekendtgørelse;Bekendtgørelse om affald;Affaldsbekendtgørelsen;Miljøministeriet;Miljøministeriet;Miljømin., j.nr. 2021-1352;2512;2021;DD000142;B20210251205;Lovtidende A;;Fremgår af forskriften;20211210;20211222;20211222;20211222;;FALSE;;;;;A20220010029;;;;https://www.retsinformation.dk/eli/lta/2021/2512
C;Vejledning;Vejledning om en ny åbenhedsordning om ministres udgifter og aktiviteter;;Statsministeriet;;Statsmin. j.nr. 23-0014;113;2009;AP000232;C20090011360;Ministerialtidende;;Fremgår af forskriften;20090603;20091215;20091215;20091215;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/mt/2009/113
A;Lovbekendtgørelse;Bekendtgørelse af lov om undersøgelse, forebyggelse og afhjælpning af miljøskader (miljøskadeloven);Miljøskadeloven;Miljøministeriet;Miljøministeriet;Miljømin., j.nr. 2022-5054;482;2022;DD000179;A20220048229;Lovtidende A;;Fremgår af forskriften;20220425;20220427;20220427;20220427;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2022/482
C;Cirkulæreskrivelse;Cirkulæreskrivelse til landets politikredse om ophævelse af cirkulæreskrivelse af 27. maj 1969 om patroner af typen kaliber .22 Hollow Point.;;Justitsministeriet;;Civilkontro (1994-506-0020);11541;1994;CM041080;C19941154110;Retsinformation;;Fremgår af forskriften;19941207;19970925;20050211;;;FALSE;;;;;A20210173629;;;;https://www.retsinformation.dk/eli/retsinfo/1994/11541
C;Vejledning;Vejledning om udarbejdelse af biotopplaner og udsætning af fasaner og agerhøns;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Skov- og Naturstyrelsen;Miljømin., Skov- og Naturstyrelsen, j.nr. SNS-300-00030 ;9180;2009;AL001975;C20090918060;Retsinformation;;Fremgår af forskriften;20090318;20090422;20090422;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/2009/9180
C;Cirkulære (1 sp);Cirkulære om registrering mv. af oplysninger i Det Centrale Kriminalregister (Kriminalregisteret) I medfør af § 5, stk. 2, § 6, stk. 2, § 10, stk. 4, § 30, stk. 2, § 31, stk. 2, i bekendtgørelse nr. 1860 af 23. september 2021 om behandling af personoplysninger i Det Centrale Kriminalregister (Kriminalregisteret) fastsættes:;;Justitsministeriet;;Justitsmin.,\nRigspolitiet, j.nr. 2019-025966;9755;2021;AA012653;C20210975509;Retsinformation;;Fremgår af forskriften;20210929;20211004;20211004;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/2021/9755
