Rank;DokumentType;Titel;PopulærTitel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
B;Bekendtgørelse;Bekendtgørelse om vurdering af virkningerne på miljøet (VVM) og beskyttelse af visse dyre- og plantearter i forbindelse med ændringer eller udvidelser af anlægsprojektet om letbanen på Ring 3;;Transportministeriet;;Transport- og Boligmin., j.nr. 2019-7740;357;2020;CZ000164;B20200035705;Lovtidende A;;Fremgår af forskriften;20200402;20200404;20200404;20200404;;FALSE;;;;;A20140016530;;;;https://www.retsinformation.dk/eli/lta/2020/357
B;Bekendtgørelse;Bekendtgørelse om mindre erhvervsfartøjers og lastfartøjers bygning og udstyr m.v.;;Erhvervsministeriet;Søfartsstyrelsen;Erhvervsmin.,\nSøfartsstyrelsen, j.nr. 2022105149;243;2022;CQ002101;B20220024305;Lovtidende A;;Fremgår af forskriften;20220217;20220222;20220222;20220222;;FALSE;;;;;A20220022129;;;;https://www.retsinformation.dk/eli/lta/2022/243
L;Bekendtgørelse (international);Bekendtgørelse af overenskomst mellem Kongeriget Danmarks regering sammen med Færøernes landsstyre på den ene side og Det Forenede Kongerige Storbritannien og Nordirlands regering på den anden side om den maritime afgrænsning i området mellem Færøerne og;18. maj 1999;Udenrigsministeriet;Udenrigsministeriet;Udenrigsministeriet, JT.2 j.nr. 46. Færøerne. 1.b.;57;1999;AS000204;L19990005764;Lovtidende C;;Fremgår af forskriften;19990721;19990804;20120503;19990804;;FALSE;;;;;;BKI nr 15 af 02/09/2014;;;https://www.retsinformation.dk/eli/ltc/1999/57
C;Meddelelse;Meddelelse om ulovligt fiskeri - konfiskationspåstand (* 1);;Justitsministeriet;;Rigsadv. j.nr. 164/66.;11213;1967;CM018590;C19671121332;Retsinformation;;Fremgår af forskriften;19671231;19970925;20070102;;;FALSE;Der er indsat en fiktiv dato af systemtekniske hensyn.,Kun år og måned for underskrivelsen er kendt.;;;;A20190026129,A20210185129;;;;https://www.retsinformation.dk/eli/retsinfo/1967/11213
B;Bekendtgørelse;Bekendtgørelse om nedkøling af råvarer til fiskemel- og fiskeolieindustrien.;;Ministeriet for Fødevarer, Landbrug og Fiskeri;;Fiskerimin. j.nr. b 1/54;83;1972;CM036186;B19720008305;Lovtidende A;;Fremgår af forskriften;19720322;19970925;20061211;19720401;;FALSE;;;;;A20220000829;;;;https://www.retsinformation.dk/eli/lta/1972/83
B;Bekendtgørelse;Bekendtgørelse om udpegning og administration af internationale naturbeskyttelsesområder samt beskyttelse af visse arter;Habitatbekendtgørelsen;Miljøministeriet;Miljøministeriet;Miljømin., j.nr. 2021-817;2091;2021;DD000133;B20210209105;Lovtidende A;;Fremgår af forskriften;20211112;20211125;20211125;20211125;;FALSE;;;;;A20150158129,A20170000929,A20170011929,A20170012329,A20170012429,A20190026529,A20190031529,A20190052029,A20190121729,A20190116529,A20210198629,A20210197629,A20220010029,A20220060229;;;;https://www.retsinformation.dk/eli/lta/2021/2091
B;Bekendtgørelse;Bekendtgørelse om forberedende grunduddannelse;;Børne- og Undervisningsministeriet;Styrelsen for Undervisning og Kvalitet;Undervisningsmin.,\nStyrelsen for Undervisning og Kvalitet, j.nr. 19/05998;479;2019;CU000658;B20190047905;Lovtidende A;;Fremgår af forskriften;20190426;20190430;20190430;20190430;;FALSE;;;;;A20190060629;BEK nr 1527 af 30/06/2021;;;https://www.retsinformation.dk/eli/lta/2019/479
E;Stor vejledning;MOMSVEJLEDNING, TEKST 1997   AFSNIT Q - SÆRLIGE REGLER FOR LANDBRUG OG FISKERI M.V.;;Skatteministeriet;;;20016;1997;AN009038;E19976MV0017;Retsinformation;;Fremgår af forskriften;19970101;20080205;20080205;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/1997/20016
B;Bekendtgørelse;Bekendtgørelse om en midlertidig lokal lønkompensationsordning til virksomheder i økonomisk krise som følge af COVID-19;;Erhvervsministeriet;;Erhvervsmin.,\nErhvervsstyrelsen, j.nr. 2021-27645;663;2022;CQ002180;B20220066305;Lovtidende A;;Fremgår af forskriften;20220512;20220524;20220524;20220524;;FALSE;;;;;A20180151830;;;;https://www.retsinformation.dk/eli/lta/2022/663
E;Stor vejledning;MOMSVEJLEDNING, TEKST 1996   AFSNIT Q - SÆRLIGE REGLER FOR LANDBRUG OG FISKERI M.V.;;Skatteministeriet;;;20030;1996;AN006936;E19966MV0017;Retsinformation;;Fremgår af forskriften;19960101;20080205;20080205;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/retsinfo/1996/20030
