"","mpa","species.count","area","entropy","lat","mainentropy","subentropy","nthreat","nmainthreat","nsubthreat","nFisheriesthreat","pFisheriesthreat","PA_DEF","NAME","DESIG","DESIG_ENG","DESIG_TYPE","IUCN_CAT","GIS_M_AREA","NO_TAKE","NO_TK_AREA","STATUS","STATUS_YR","GOV_TYPE","OWN_TYPE","MANG_AUTH","MANG_PLAN","MARINE","PARENT_ISO","CONS_OBJ","calc.area","smod.count","smod.city","smod.town","smod.semiDenseTown","smod.suburbs","smod.village","smod.rural","smod.uninhabited","smod.water","AIS.commercial","AIS.fishing","AIS.global","AIS.leisure","AIS.oilgas","AIS.passenger","cropland.2019","lon","cropland.2019.area.km2","fish.aesthetics.max","fish.aesthetics.mean","fish.aesthetics.sd","fish.aesthetics.count","trawlers_2012_2020","tuna_purse_seines_2012_2020","fishing_2012_2020","purse_seines_2012_2020","drifting_longlines_2012_2020","set_longlines_2012_2020","squid_jigger_2012_2020","set_gillnets_2012_2020","pots_and_traps_2012_2020","trollers_2012_2020","dredge_fishing_2012_2020","pole_and_line_2012_2020","other_seines_2012_2020","seiners_2012_2020","other_purse_seines_2012_2020","mpa.1","mpa.2","trawlers_2019","tuna_purse_seines_2019","fishing_2019","purse_seines_2019","drifting_longlines_2019","set_longlines_2019","squid_jigger_2019","set_gillnets_2019","pots_and_traps_2019","trollers_2019","dredge_fishing_2019","pole_and_line_2019","other_seines_2019","seiners_2019","other_purse_seines_2019","Flickr_userdays_2010_2019","Flickr_userdays_2019","Flickr_user_2010_2019","Flickr_photos_2010_2019","Flickr_photos_2019","total_N_effluent_2015","bivalve_production","crustaceans_production","marine_fish_general_production","salmon_production","shrimp_production","tuna_production","Flickr_user_2019","ISO3","SUB_LOC","region_name","OHI.score.2021.AO","OHI.score.2021.BD","OHI.score.2021.CP","OHI.score.2021.CS","OHI.score.2021.CW","OHI.score.2021.ECO","OHI.score.2021.FIS","OHI.score.2021.FP","OHI.score.2021.HAB","OHI.score.2021.ICO","OHI.score.2021.Index","OHI.score.2021.LE","OHI.score.2021.LIV","OHI.score.2021.LSP","OHI.score.2021.MAR","OHI.score.2021.NP","OHI.score.2021.SP","OHI.score.2021.SPP","OHI.score.2021.TR","OHI.trend.2021.AO","OHI.trend.2021.BD","OHI.trend.2021.CP","OHI.trend.2021.CS","OHI.trend.2021.CW","OHI.trend.2021.ECO","OHI.trend.2021.FIS","OHI.trend.2021.FP","OHI.trend.2021.HAB","OHI.trend.2021.ICO","OHI.trend.2021.LE","OHI.trend.2021.LIV","OHI.trend.2021.LSP","OHI.trend.2021.MAR","OHI.trend.2021.NP","OHI.trend.2021.SP","OHI.trend.2021.SPP","OHI.trend.2021.TR"
"1","1",1436,14.6361351589,4.93199869005963,17.1950121653301,2.78154378432844,4.13744366240272,70,11,38,399,0.277855153203343,"1","Diamond Reef and Salt Fish Tail Reef","Marine Reserve","Marine Reserve","National","Ia",14.6361351589,"All",14.572487,"Designated",1973,"Federal or national ministry or agency","State","Fisheries Division","Not Reported","2","ATG","Not Applicable",14636166.6422755,36,0,0,0,0,0,0,0,36,5878111.5,0,8112420.5,2234308.75,0,0,0,-61.8558954833089,0,1980,1487.10152284264,147.959970619869,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1397299.25,0,0,0,0,0,0,1,"ATG","AG-04","Antigua and Barbuda",100,75.6,73.49,98.18,59.12,83.4,55.58,55.58,73.49,64.53,78.72,91.7,100,92.07,0,64.47,78.3,77.71,90.74,0,-0.03,-0.05,0.09,0,0.17,0,0,-0.03,0.01,0.58,1,0,0,-0.04,0,-0.03,0.02
"484","10028",1275,85.100620572775,4.68396244314277,5.9000853819284,2.86089563051583,4.05418444104276,70,12,38,616,0.483137254901961,"1","Pulau Perhentian Besar Marine Park","Marine Park","Marine Park","National","II",85.100620572775,"All",0.5,"Designated",1999,"Federal or national ministry or agency","State","Department of Fisheries (DOF)","Not Reported","2","MYS","Not Applicable",89808916.869506,146,0,0,0,0,12,5,4,125,93028608,0.075010322034359,97838128,4809516.5,0,0,0,102.758174273061,0,1947,1469.41876208897,143.717035619363,1034,0,0,45.1183676719666,0,0,0,0,0,0,0,0,0,0,0,0,"10028","10028",0,0,38.0960083007812,0,0,0,0,0,0,0,0,0,0,0,0,265,3,129,1543,5,486313.34375,0,0,0,0,0,0,3,"MYS","MY-11","Malaysia",67.84,84.62,86.86,81.2,72.88,68.36,54.5,48.43,86.22,55.3,69.67,77.8,87.24,51.94,0.62,67.46,53.62,83.02,56.04,0,-0.02,0,-0.02,0.21,-0.03,-0.04,-0.08,-0.02,-0.01,0.48,1,0,-0.41,-0.07,-0.01,-0.02,0
"485","10072",848,1.45826976859698,4.64295933155488,5.818658522416,2.89832855448043,4.05277003123634,70,12,38,424,0.5,"1","Sepilok (Mangrove)","Forest Reserve","Forest Reserve","National","Ia",1.45826976859698,"Not Reported",0,"Designated",1984,"Sub-national ministry or agency","Not Reported","Sabah Forestry Department (SFD) / Sabah Foundation","Not Reported","1","MYS","Not Applicable",11303613.6366237,42,0,0,0,0,0,1,37,4,0,0,0,0,0,0,0,117.953092203359,0,1947,1503.27868852459,142.062685182801,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10072","10072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,10,0,64993.65625,31.9836101531982,0,97.7001113891602,0,37.9875907897949,0,0,"MYS","Not Reported","Malaysia",67.84,84.62,86.86,81.2,72.88,68.36,54.5,48.43,86.22,55.3,69.67,77.8,87.24,51.94,0.62,67.46,53.62,83.02,56.04,0,-0.02,0,-0.02,0.21,-0.03,-0.04,-0.08,-0.02,-0.01,0.48,1,0,-0.41,-0.07,-0.01,-0.02,0
"1890","100837",1483,0.449797992089851,4.9251436565386,19.3114221500898,2.77772452137933,4.12374530682406,68,11,36,349,0.235333782872556,"1","Pageant Beach Replenishment Zone","Replenishment Zone","Replenishment Zone","National","IV",0.449797992089851,"None",0,"Designated",1986,"Federal or national ministry or agency","State","Department of Environment, Cayman Islands Government","Not Reported","2","GBR","Not Applicable",483739.15904059,7,0,0,5,0,0,0,0,2,25276724,0,26447788,1170831.125,0,233.620544433594,0,-81.3906342895827,0,1980,1495.0582010582,148.146139030056,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100837","100837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,5,106,1727,5,60880.875,0,0,0,0,0,0,4,"CYM","KY","Cayman Islands",77.79,80.63,64.54,96.2,50.55,99.67,39.25,39.25,85.39,57.65,71.81,99.83,100,29.51,0,NA,43.58,75.88,93.89,-0.04,-0.02,-0.02,0.03,-0.04,-0.01,-0.11,-0.11,0,0,0.5,1,0,0,NA,0,-0.04,0.07
"486","10098",976,1.71683928429099,4.70477124483419,3.33042786315193,2.859830787763,4.06872457127796,70,12,38,491,0.503073770491803,"1","Kuala Selangor","Nature Park","Nature Park","National","II",1.71683928429099,"Not Reported",0,"Designated",1997,"Government-delegated management","Not Reported","Kuala Selangor District Council / Malaysian Nature Society (MNS)","Not Reported","1","MYS","Not Applicable",2593212.47174173,14,0,2,0,4,0,1,6,1,0,0,0,0,0,0,0,101.241453386177,0,1947,1488.73755656109,145.714458917565,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10098","10098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,7,7,139130.9375,0,0,0,0,0,0,1,"MYS","Not Reported","Malaysia",67.84,84.62,86.86,81.2,72.88,68.36,54.5,48.43,86.22,55.3,69.67,77.8,87.24,51.94,0.62,67.46,53.62,83.02,56.04,0,-0.02,0,-0.02,0.21,-0.03,-0.04,-0.08,-0.02,-0.01,0.48,1,0,-0.41,-0.07,-0.01,-0.02,0
"82","1010",166,2324.71473449405,4.62787774280064,58.7974715592611,2.66253080374703,3.86623500530017,48,11,31,73,0.439759036144578,"1","Glacier Bay National Park & Preserve","Marine Protected Area","Marine Protected Area","National","Not Reported",2324.71473449405,"None",0,"Designated",1925,"Federal or national ministry or agency","State","National Park Service","Not Reported","1","USA","Not Applicable",13218112168.3808,14356,0,0,0,0,0,0,11469,2887,7304212992,2787988,9083117568,1776092800,0,23725.65625,0,-136.833233829643,0,1632,1393.9,120.576808162543,10,208.833660125732,0,760.043747901917,2.1830472946167,0,140.664546489716,0,0,4.07441415637732,0.00516703398898244,0,0,0,0,612.648582339287,"1010","1010",23.7758007049561,0,44.9693641662598,0,0,18.0579605102539,0,0,0,0,0,0,0,0,87.9550170898438,379,34,274,8351,738,96254.7890625,361.258605957031,0,0,0,0,0,24,"USA","US-AK","United States",78.07,73.38,71.47,72.86,80.87,99.91,65.57,62.76,69.61,60.72,72.9,75.7,51.49,80,1,98.25,70.36,77.14,45.29,-0.09,-0.05,-0.07,-0.04,-0.02,0.07,-0.11,-0.1,-0.07,0.01,-0.34,-0.75,0,0.13,0.02,0,-0.02,0
"487","10111",2429,20.3200054754328,4.64756057430933,8.69281434860778,2.85857033784442,4.02691514253719,70,12,38,1007,0.414573898723755,"1","Con Dao","Vu<U+1EDD>n qu<U+1ED1>c gia","National Park","National","II",20.3200054754328,"Not Reported",0,"Designated",1993,"Government-delegated management","Not Reported","People's Committee of Ba Ria Vung Tau","Not Reported","1","VNM","Not Applicable",73047140.7250398,173,0,0,0,0,0,63,100,10,10759264,0,10759264,0,0,0,71,106.611200968885,0.054236542185759,1966,1527.37138508371,150.004661421674,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10111","10111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,5,68,1688,85,191388.578125,0,0,0,0,0,0,3,"VNM","VN-43","Vietnam",81.2,80.6,66.73,58.64,47.3,85.23,59.17,40.53,77.37,60.47,61.92,74.27,63.32,82.6,10.13,59.23,71.54,83.84,39.12,-0.01,-0.03,-0.01,-0.02,-0.07,-0.09,0,0.18,-0.03,0,-0.54,-1,0,0.48,-0.06,0,-0.02,0.01
"1891","101165",516,0.89609702100285,4.60974749941596,10.9568082038514,2.41969115885167,3.78043659710764,65,11,35,225,0.436046511627907,"1","Laguna Blanca o del Morro","Zona Protectora (ZP)","Protective Zone (ZP)","National","VI",0.89609702100285,"Not Reported",0,"Designated",1992,"Federal or national ministry or agency","Multiple ownership","Ministerio del Poder Popular para el Ecosocialismo (MINEC)","No","1","VEN","Not Applicable",2218084.18344146,13,7,0,0,3,0,1,0,2,0,0,0,0,0,0,0,-63.8212200589384,0,1833,1445.0987654321,153.100588253138,81,0,0,4.82327341160271e-05,0,0,0,0,0,0,0,0,0,0,0,0,"101165","101165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,126813.890625,0,0,0,0,0,0,1,"VEN","VEN-N","Venezuela",90.45,81.57,84.1,89.07,65.8,95.48,57.94,45.28,83.07,64.71,73.66,82.81,70.14,96.94,0.42,99.32,80.82,80.06,17.39,0.29,-0.02,-0.01,0,0,-0.06,0.18,0.17,-0.01,0,0.4,0.85,0,0.17,0.02,0,-0.02,-0.05
"1892","101174",1500,63.4967225533188,4.89345986015352,11.3932518831692,2.73860566387759,4.08223128370028,69,11,37,455,0.303333333333333,"1","Hueque - Sauca","Reserva de Fauna Silvestre (REFA)","Wildlife Reserve (REFA)","National","IV",63.4967225533188,"Not Reported",0,"Designated",2005,"Federal or national ministry or agency","Multiple ownership","Ministerio del Poder Popular para el Ecosocialismo (MINEC)","No","1","VEN","Not Applicable",372815529.869096,469,0,0,0,0,0,5,368,96,0,0,0,0,0,0,0,-68.9395996291375,0,1980,1483.88118811881,148.371242545521,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101174","101174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,880777.9375,0,0,0,0,0,0,0,"VEN","VEN-F; VEN-TE","Venezuela",90.45,81.57,84.1,89.07,65.8,95.48,57.94,45.28,83.07,64.71,73.66,82.81,70.14,96.94,0.42,99.32,80.82,80.06,17.39,0.29,-0.02,-0.01,0,0,-0.06,0.18,0.17,-0.01,0,0.4,0.85,0,0.17,0.02,0,-0.02,-0.05
"1893","101225",2,28.7722521565674,2,59.6766186208215,1.58496250072116,1.58496250072116,4,3,3,1,0.5,"1","Uhtju Looduskaitseala","Looduskaitseala","Nature reserve","National","Not Reported",28.7722521565674,"Not Reported",0,"Designated",2018,"Federal or national ministry or agency","Not Reported","Ministry of Environment, Narva mnt 7a, Tallinn, Estonia","Not Reported","2","EST","Not Applicable",29387333.3181805,56,0,0,0,0,0,1,4,51,441916864,11.5056505203247,441916864,0,0,0,9,26.5183686654463,0.00351141315744051,NA,NA,NA,0,11.3881161212921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101225","101225",2.70563125610352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533696.375,0,0,0,0,0,0,0,"EST","Not Reported","Estonia",90.96,80.26,62.67,74.62,72.75,100,90.58,87.81,75.77,91.85,77.78,73.81,47.62,100,0.56,99.69,95.92,84.74,39.29,0,-0.04,-0.08,-0.02,-0.06,0.04,-0.02,0.01,-0.06,0.01,-0.48,-1,0,1,0,0,-0.02,0.07
"1894","101265",2,15.5877615740335,2,59.5731849379495,1.58496250072116,1.58496250072116,4,3,3,1,0.5,"1","Kolga Lahe Maastikukaitseala","Maastikukaitseala (looduspark)","Protected landscape (nature park)","National","Not Reported",15.5877615740335,"Not Reported",0,"Designated",2015,"Federal or national ministry or agency","Not Reported","Ministry of Environment, Narva mnt 7a, Tallinn, Estonia","Not Reported","1","EST","Not Applicable",19221623.4644974,72,0,0,0,0,0,5,18,49,9347586,19.0858745574951,9347605,0,0,0,0,25.2755848335244,0,NA,NA,NA,0,12.7741067409515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101265","101265",1.95210921764374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,130,0,943405.0625,0,0,0,0,0,0,0,"EST","Not Reported","Estonia",90.96,80.26,62.67,74.62,72.75,100,90.58,87.81,75.77,91.85,77.78,73.81,47.62,100,0.56,99.69,95.92,84.74,39.29,0,-0.04,-0.08,-0.02,-0.06,0.04,-0.02,0.01,-0.06,0.01,-0.48,-1,0,1,0,0,-0.02,0.07
"1895","101282",2,4.13738856474961,2,59.55041872208,1.58496250072116,1.58496250072116,4,3,3,1,0.5,"1","Letipea Maastikukaitseala","Maastikukaitseala (looduspark)","Protected landscape (nature park)","National","Not Reported",4.13738856474961,"Not Reported",0,"Designated",2017,"Federal or national ministry or agency","Not Reported","Ministry of Environment, Narva mnt 7a, Tallinn, Estonia","Not Reported","1","EST","Not Applicable",6053772.72247423,22,0,0,0,0,0,1,11,10,31671940,18.2043628692627,31671958,0,0,0,18,26.5805191738449,0.00704925564842154,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101282","101282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,20,0,451482.03125,0,0,0,0,0,0,0,"EST","Not Reported","Estonia",90.96,80.26,62.67,74.62,72.75,100,90.58,87.81,75.77,91.85,77.78,73.81,47.62,100,0.56,99.69,95.92,84.74,39.29,0,-0.04,-0.08,-0.02,-0.06,0.04,-0.02,0.01,-0.06,0.01,-0.48,-1,0,1,0,0,-0.02,0.07
"1896","101391",3716,1903.62768598819,4.68204008278607,20.6409064932026,2.81559679683601,4.01661734179924,70,12,38,1200,0.322927879440258,"1","Batanes Protected Landscape & Seascape","Protected Landscape and Seascape","Protected Landscape and Seascape","National","V",1903.62768598819,"Not Reported",0,"Designated",2001,"Federal or national ministry or agency","State","Protected Area Management Board","https://drive.google.com/drive/folders/16rsG6hp08EVVHUFaoBWb-NqiWPerotgT?usp=sharing","1","PHL","Not Applicable",2113805718.17834,2483,0,0,0,0,11,117,168,2187,4636550656,0,4636550656,0,0,0,0,121.903700954317,0,1966,1494.15871979099,149.325552211256,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101391","101391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,59,1372,1,3715267.25,378.272155761719,0,1699.00903320312,0,405.566925048828,0,1,"PHL","PH-BTN","Philippines",61.2,79.84,91.03,71.86,48.84,45.52,24.62,18.26,76.24,55.43,63.02,43.94,42.36,58.25,8.2,58.42,56.84,83.45,100,-0.29,-0.02,-0.01,-0.06,-0.13,-0.09,-0.03,-0.01,-0.01,-0.02,-0.38,-0.67,0.65,0.04,-0.11,0.32,-0.02,0
"1897","101392",3279,61.7010009365229,4.65419329640952,15.5186084964185,2.82712782793264,4.01423351286286,70,12,38,1188,0.362305580969808,"1","Masinloc and Oyon Bay Protected Landscape and Seascape","Protected Landscape and Seascape","Protected Landscape and Seascape","National","V",61.7010009365229,"Not Reported",0,"Designated",2018,"Federal or national ministry or agency","State","Protected Area Management Board","https://drive.google.com/drive/folders/1EIyX9AcgFaR79d15l61EhULHkPjiR55P?usp=sharing","1","PHL","Not Applicable",75703404.060078,123,0,7,0,0,16,8,14,78,83979928,0,83979928,0,0,0,5921.92041015625,119.91685502284,4.40945857914071,1966,1492.50513347023,148.990284714752,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101392","101392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,41,0,12495197,44.9476356506348,0,382.513763427734,0,0,0,0,"PHL","PH-ZMB","Philippines",61.2,79.84,91.03,71.86,48.84,45.52,24.62,18.26,76.24,55.43,63.02,43.94,42.36,58.25,8.2,58.42,56.84,83.45,100,-0.29,-0.02,-0.01,-0.06,-0.13,-0.09,-0.03,-0.01,-0.01,-0.02,-0.38,-0.67,0.65,0.04,-0.11,0.32,-0.02,0
"1898","101396",2869,322.089366939906,4.65127391351962,11.0013247754141,2.83784815294418,4.01897439831719,70,12,38,1122,0.391077030324155,"1","Sagay Marine Reserve","Resource Reserve","Resource Reserve","National","Ib",322.089366939906,"Not Reported",0,"Designated",2001,"Federal or national ministry or agency","State","Protected Area Management Board","https://drive.google.com/drive/folders/11PoFV_lzm_SuMrMoF5UHHb1zaqCWUnRs?usp=sharing","2","PHL","Not Applicable",326684591.470284,421,0,2,0,0,10,8,19,382,817313600,2.67948436737061,817313728,0,0,76.7401504516602,5715.1142578125,123.482361359653,4.33531709043808,1966,1492.63165169316,149.236310122196,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101396","101396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,15,2,66011192,0,0,0,0,0,0,1,"PHL","PH-NEC","Philippines",61.2,79.84,91.03,71.86,48.84,45.52,24.62,18.26,76.24,55.43,63.02,43.94,42.36,58.25,8.2,58.42,56.84,83.45,100,-0.29,-0.02,-0.01,-0.06,-0.13,-0.09,-0.03,-0.01,-0.01,-0.02,-0.38,-0.67,0.65,0.04,-0.11,0.32,-0.02,0
"1899","101399",3297,6.02085526499677,4.65072536775823,9.07683735996292,2.82590447105684,4.01372656825477,70,12,38,1201,0.364270548983925,"1","Apo Island Protected Landscape & Seascape","Protected Landscape and Seascape","Protected Landscape and Seascape","National","V",6.02085526499677,"Not Reported",0,"Designated",2018,"Federal or national ministry or agency","State","Protected Area Management Board","https://drive.google.com/drive/folders/1ROsro52kAGUZl_ocjZD-xlrv9Ca3pFjk?usp=sharing","1","PHL","Not Applicable",6948021.81399901,20,0,0,0,0,3,0,0,17,1421474,0,1421474,0,0,0,21,123.271035835718,0.0160249949611007,1966,1492.17521652232,148.535124730493,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101399","101399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7,65,823,40,428395.96875,0,0,0,0,0,0,6,"PHL","PH-NER","Philippines",61.2,79.84,91.03,71.86,48.84,45.52,24.62,18.26,76.24,55.43,63.02,43.94,42.36,58.25,8.2,58.42,56.84,83.45,100,-0.29,-0.02,-0.01,-0.06,-0.13,-0.09,-0.03,-0.01,-0.01,-0.02,-0.38,-0.67,0.65,0.04,-0.11,0.32,-0.02,0
"1900","101409_A",732,865.628164817,4.75283011826961,31.6790056350193,2.72121551839321,4.02954730855289,56,11,33,194,0.265027322404372,"1","Alto Golfo de California y Delta del Río Colorado","Reserva de la Biósfera","Biosphere Reserve","National","Ia",865.628164817,"Not Reported",0,"Designated",1993,"Federal or national ministry or agency","State","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Final_AltoGolfo.pdf","1","MEX","Not Applicable",1648754045.89791,1941,0,0,0,0,2,1,1163,775,14503792,0,14503792,0,0,0,0,-114.770935860975,0,1940,1483.0942408377,146.846219306294,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101409_A","101409_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,3954652.25,0,0,0,0,0,0,0,"MEX","MX-BCN","Mexico",84.7,83.46,85.08,88.24,69.31,100,31.1,25.09,91.15,58.99,73.62,72.14,44.29,100,0.09,56.19,79.5,75.76,92.45,0.01,-0.01,0,0,-0.09,0.04,-0.03,-0.06,0.01,0.02,-0.06,-0.17,0,-0.17,-0.21,0.01,-0.03,0.04
"1901","101409_B",922,4565.09655215,4.7388457842252,31.4876600338506,2.67960148965911,4.00598442738747,57,11,34,229,0.248373101952278,"1","Alto Golfo de California y Delta del Río Colorado","Reserva de la Biósfera","Biosphere Reserve","National","VI",4565.09655215,"Not Reported",0,"Designated",1993,"Federal or national ministry or agency","State","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Final_AltoGolfo.pdf","1","MEX","Not Applicable",7701255067.84591,8794,0,8,0,2,7,18,3983,4776,623873792,94.9263000488281,623873856,0,0,0,39779.234375,-114.444261302627,26.2138516527304,1940,1479.44019138756,148.851750952085,209,0.0717680957168341,0,0,0,0,97.047119140625,0,0,0,0,0,0,0,0,0,"101409_B","101409_B",0.0550065189599991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3,56,286,8,23847062,0,0,0,0,0,0,3,"MEX","MX-BCN","Mexico",84.7,83.46,85.08,88.24,69.31,100,31.1,25.09,91.15,58.99,73.62,72.14,44.29,100,0.09,56.19,79.5,75.76,92.45,0.01,-0.01,0,0,-0.09,0.04,-0.03,-0.06,0.01,0.02,-0.06,-0.17,0,-0.17,-0.21,0.01,-0.03,0.04
"1902","101417",83,0.468266919602947,4.70041707524339,49.2252734825084,2.81113864997744,4.01974400734214,43,10,28,36,0.433734939759036,"1","Hudson Rocks Ecological Reserve","Ecological Reserve","Ecological Reserve","National","Ia",0.468266919602947,"Not Reported",0,"Designated",1996,"Sub-national ministry or agency","State","Government of British Columbia","https://bcparks.ca/","2","CAN","Not Applicable",478108.01193678,7,0,0,0,0,0,0,1,6,2765724.25,3.57675552368164,2896958.5,131230.125,0,0.401709049940109,0,-123.926121665278,0,1502,1364.18181818182,85.735428128421,11,0.0164523590356112,0,3.3526236731559,0.000914586242288351,0,0,0,0,0,0.00897543388418853,0,0,0,0,3.77054863795638,"101417","101417",0,0,0.0387902669608593,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,670297.875,0,0,0,0,0,0,0,"CAN","CA-BC","Canada",50.85,83.74,95.46,73.24,89.07,100,46.29,34.36,88.15,55.76,68.6,87.11,74.22,27.5,1.1,83.49,41.63,79.33,47,-0.13,-0.02,0.01,-0.05,-0.08,0.02,-0.09,-0.03,-0.03,0.01,0.03,0.03,0.39,0.14,0.01,0.2,-0.01,0.01
"1903","101430",1290,3044.75208892,4.92111234361501,18.6238698610214,2.77230698293945,4.11108769652392,70,11,36,407,0.315503875968992,"1","Laguna de Términos","Área de Protección de Flora y Fauna","Flora and Fauna Protection Area","National","VI",3044.75208892,"Not Reported",0,"Designated",1994,"Federal or national ministry or agency","State","National Commission of Natural Protected Areas","http://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/APFFTerminos.pdf","1","MEX","Not Applicable",7085921911.25018,7922,39,7,10,6,22,44,4100,3694,8399933952,0,8404430336,0,4492081,4215.7841796875,866.818603515625,-91.732402517173,0.634776509549248,1980,1485.08762886598,150.874334531276,194,0,46.8805160522461,282.958200454712,0,0,0,0,0,0,0,0,0,0,0,0,"101430","101430",0,0,14.7977991104126,0,0,0,0,0,0,0,0,0,0,0,0,342,0,148,1007,0,4554561024,1665.97900390625,0,0,0,14189.2783203125,0,0,"MEX","MX-CAM","Mexico",84.7,83.46,85.08,88.24,69.31,100,31.1,25.09,91.15,58.99,73.62,72.14,44.29,100,0.09,56.19,79.5,75.76,92.45,0.01,-0.01,0,0,-0.09,0.04,-0.03,-0.06,0.01,0.02,-0.06,-0.17,0,-0.17,-0.21,0.01,-0.03,0.04
"1904","101486",3349,85.704853675238,4.64745870140694,-6.11516215276411,2.83154207692372,4.01394458087612,70,12,38,1190,0.355329949238579,"1","Pulau Anak Krakatau","Marine Nature Reserve","Marine Nature Reserve","National","Ib",85.704853675238,"Not Reported",0,"Designated",1990,"Federal or national ministry or agency","Not Reported","KANWIL-Forestry & BAPPEDA I","Not Reported","1","IDN","Not Applicable",117032700.034074,164,0,0,0,0,2,7,20,135,9638751,0,9638764,0,0,13,448,105.42161172848,0.344231853242336,1966,1492.90569744597,148.507256576416,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101486","101486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,14,59,23,110241.671875,0,0,0,0,0,0,2,"IDN","ID-SU","Indonesia",92.4,83.14,81.17,68.93,57.31,98.46,40.98,27.28,83.68,57.97,64.74,70.42,42.39,58.55,4.35,73.71,58.26,82.61,34.8,-0.02,-0.02,-0.01,-0.03,-0.08,-0.01,-0.03,0.08,-0.02,-0.01,0.15,0.31,0.06,0.27,0.1,0.02,-0.02,0.03
"1905","101534",66,113.28227801342,4.8262746936661,49.0360828691865,2.9164103611354,4.13551616456333,44,10,28,27,0.409090909090909,"1","Boundary Bay Wildlife Management Area","Wildlife Management Area","Wildlife Management Area","National","IV",113.28227801342,"Not Reported",0,"Designated",1995,"Sub-national ministry or agency","State","Government of British Columbia","http://www.env.gov.bc.ca/fw/habitat/conservation-lands/wma/","2","CAN","Not Applicable",117242784.839781,196,15,2,0,12,0,15,47,105,31654988,1,31654990,0,0,1,29806.0234375,-122.932120783395,15.100226151614,1502,1364.18181818182,85.735428128421,11,0,0,13.5334119796753,0,0,0,0,0,0,0,0,0,0,0,0.16853591799736,"101534","101534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2686,176,1325,11013,812,564165504,0,0,0,0,0,0,46,"CAN","CA-BC","Canada",50.85,83.74,95.46,73.24,89.07,100,46.29,34.36,88.15,55.76,68.6,87.11,74.22,27.5,1.1,83.49,41.63,79.33,47,-0.13,-0.02,0.01,-0.05,-0.08,0.02,-0.09,-0.03,-0.03,0.01,0.03,0.03,0.39,0.14,0.01,0.2,-0.01,0.01
